,File Size,No Encryption,RSA Only,AES only,AES and RSA
13.10.15.txt,12065,0.009000063,0.473999977,0.101999998,0.071000099
13.10.25.txt,12288,0.011999846,0.536000013,0.085999966,0.078999996
13.10.35.txt,12697,0.019000053,0.565999985,0.093999863,0.078999996
13.10.45.txt,13547,0.008000135,0.556999922,0.093000174,0.078999996
13.10.5.txt,14353,0.011000156,0.611000061,0.105999947,0.088000059
13.10.55.txt,15021,0.009000063,0.470999956,0.137000084,0.089999914
13.11.16.txt,15033,0.023999929,0.588000059,0.108999968,0.091999769
13.11.26.txt,15577,0.017999887,0.688999891,0.113999844,0.092999935
13.11.36.txt,15665,0.008000135,0.634000063,0.118999958,0.125
13.11.46.txt,16088,0.006999969,0.116000175,0.111999989,0.095999956
13.11.57.txt,16156,0.012999773,0.515000105,0.111000061,0.095000029
13.11.6.txt,16364,0.00999999,0.546000004,0.125999928,0.11500001
13.7.12.txt,16368,0.01699996,0.697000027,0.115999937,0.094000101
13.7.2.txt,16466,0.012000084,0.559999943,0.118000031,0.101000071
13.7.22.txt,16560,0.00999999,0.588000059,0.118999958,0.097000122
13.7.32.txt,16666,0.012000084,0.720999956,0.138000011,0.105999947
13.7.42.txt,16809,0.010999918,0.615999937,0.118999958,0.095999956
13.7.52.txt,16942,0.009000063,0.639000177,0.119000196,0.101000071
13.8.12.txt,17142,0.019000053,0.616000175,0.11500001,0.111000061
13.8.2.txt,17246,0.010999918,0.650000095,0.123000145,0.102999926
13.8.23.txt,17446,0.009000063,0.486999989,0.11500001,0.103000164
13.8.33.txt,17562,0.00999999,0.707999945,0.125999928,0.099999905
13.8.43.txt,17727,0.010999918,0.633999825,0.122999907,0.105000019
13.8.53.txt,17908,0.012000084,0.619999886,0.132999897,0.107000113
13.9.14.txt,19467,0.012000084,0.613000154,0.135999918,0.122999907
13.9.24.txt,19571,0.012000084,0.756999969,0.138000011,0.115999937
13.9.3.txt,19694,0.010000229,0.748999834,0.125999928,0.11500001
13.9.34.txt,20064,0.00999999,0.623999834,0.138999939,0.121999979
13.9.44.txt,20351,0.022000074,0.63499999,0.143000126,0.116999865
13.9.54.txt,20790,0.010999918,0.686000109,0.147000074,0.121999979
