13.9.44    10    547    1    (117, 229)        0.316227766017
13.9.44    10    547    2    (285, 187)    South    1.25299640861
13.9.44    10    547    3    (250, 29)        0.1
13.9.44    10    547    4    (370, 161)        0.5
13.9.44    10    547    5    (214, 103)        0.0
13.9.44    10    547    6    (79, 20)        0.1
13.9.44    10    547    7    (134, 33)        0.1
13.9.44    10    547    8    (314, 71)        0
13.9.44    10    547    9    (384, 52)        0
13.9.44    10    547    10    (198, 43)        0
13.9.44    10    547    11    (70, 57)        0
13.9.44    10    547    12    (47, 211)        0
13.9.45    10    548    1    (117, 229)        0.22360679775
13.9.45    10    548    2    (286, 188)    South    1.30384048104
13.9.45    10    548    3    (250, 29)        0.1
13.9.45    10    548    4    (370, 161)        0.583095189485
13.9.45    10    548    5    (211, 104)        0.316227766017
13.9.45    10    548    6    (78, 19)        0.22360679775
13.9.45    10    548    7    (133, 32)        0.22360679775
13.9.45    10    548    8    (314, 70)        0
13.9.45    10    548    9    (384, 52)        0
13.9.45    10    548    10    (197, 43)        0
13.9.45    10    548    11    (70, 56)        0
13.9.45    10    548    12    (48, 210)        0
13.9.45    10    549    1    (119, 232)        0.67082039325
13.9.45    10    549    2    (286, 187)        0.4472135955
13.9.45    10    549    3    (249, 29)        0.141421356237
13.9.45    10    549    4    (370, 162)        0.141421356237
13.9.45    10    549    5    (211, 104)        0.316227766017
13.9.45    10    549    6    (78, 19)        0.22360679775
13.9.45    10    549    7    (315, 71)        0.0
13.9.45    10    549    8    (384, 55)        0.0
13.9.45    10    549    9    (190, 40)        0
13.9.45    10    549    10    (69, 55)        0
13.9.45    10    549    11    (48, 211)        0
13.9.45    10    550    1    (119, 233)        0.80622577483
13.9.45    10    550    2    (286, 187)        0.4472135955
13.9.45    10    550    3    (249, 29)        0.0
13.9.45    10    550    4    (368, 161)        0.2
13.9.45    10    550    5    (211, 104)        0.412310562562
13.9.45    10    550    6    (132, 33)        0.22360679775
13.9.45    10    550    7    (314, 71)        0.1
13.9.45    10    550    8    (384, 54)        0.1
13.9.45    10    550    9    (191, 39)        0
13.9.45    10    550    10    (66, 47)        0
13.9.45    10    550    11    (48, 210)        0
13.9.46    10    551    1    (120, 235)        0.728010988928
13.9.46    10    551    2    (286, 188)        0.1
13.9.46    10    551    3    (248, 27)        0.282842712475
13.9.46    10    551    4    (369, 161)        0.141421356237
13.9.46    10    551    5    (211, 103)        0.3
13.9.46    10    551    6    (131, 34)        0.2
13.9.46    10    551    7    (314, 70)        0.141421356237
13.9.46    10    551    8    (385, 54)        0.141421356237
13.9.46    10    551    9    (191, 40)        0
13.9.46    10    551    10    (67, 47)        0
13.9.46    10    551    11    (51, 214)        0
13.9.46    10    552    1    (121, 235)        0.721110255093
13.9.46    10    552    2    (286, 187)        0.1
13.9.46    10    552    3    (248, 26)        0.360555127546
13.9.46    10    552    4    (367, 158)        0.424264068712
13.9.46    10    552    5    (211, 103)        0.3
13.9.46    10    552    6    (131, 33)        0.22360679775
13.9.46    10    552    7    (315, 71)        0.0
13.9.46    10    552    8    (384, 53)        0.2
13.9.46    10    552    9    (183, 37)        0
13.9.46    10    552    10    (67, 47)        0
13.9.46    10    552    11    (50, 213)        0
13.9.46    10    553    1    (122, 237)        0.943398113206
13.9.46    10    553    2    (286, 187)        0.1
13.9.46    10    553    3    (248, 26)        0.360555127546
13.9.46    10    553    4    (365, 156)        0.707106781187
13.9.46    10    553    5    (211, 103)        0.1
13.9.46    10    553    6    (130, 33)        0.4
13.9.46    10    553    7    (317, 77)        0.632455532034
13.9.46    10    553    8    (384, 53)        0.2
13.9.46    10    553    9    (179, 36)        0
13.9.46    10    553    10    (67, 47)        0
13.9.46    10    553    11    (50, 213)        0
13.9.47    10    554    1    (122, 238)        0.67082039325
13.9.47    10    554    2    (285, 188)        0.141421356237
13.9.47    10    554    3    (246, 25)        0.5
13.9.47    10    554    4    (365, 156)        0.781024967591
13.9.47    10    554    5    (211, 103)        0.1
13.9.47    10    554    6    (131, 33)        0.22360679775
13.9.47    10    554    7    (317, 78)        0.728010988928
13.9.47    10    554    8    (385, 53)        0.22360679775
